frequency,power
28.70,0.000985118873285061
28.80,0.001035157886447222
28.90,0.000984811501237593
29.00,0.0008265590665098888
29.10,0.000782815359402166
29.20,0.0008902261425401759
29.30,0.0009594947154336168
29.40,0.0009217496419738839
29.50,0.0008669477405997739
29.60,0.0008871679154148306
29.70,0.0009612396627153961
29.80,0.000952765624264693
29.90,0.0008526073891234463
30.00,0.000829825143540377
